id_caso,categoria_caso,complejidad_caso,id_juez,carga_trabajo_juez_pct,especialidad_coincide,tiempo_resolucion_dias
EXP-23278,Laboral,2,J-003,89.6,0,133
EXP-23032,Penal,1,J-005,19.85,1,19
EXP-20166,Familiar,4,J-004,50.43,1,56
EXP-61741,Familiar,3,J-005,50.15,0,100
EXP-80378,Familiar,5,J-004,89.43,1,87
EXP-56045,Laboral,5,J-005,19.43,0,135
EXP-49751,Familiar,3,J-004,94.49,1,84
EXP-85402,Familiar,2,J-001,89.38,0,116
EXP-23550,Penal,5,J-003,87.54,1,116
EXP-52639,Penal,3,J-001,39.85,0,123
EXP-88954,Penal,2,J-001,70.97,0,116
EXP-72949,Familiar,2,J-001,74.2,0,111
EXP-97943,Laboral,2,J-003,15.49,0,110
EXP-76442,Penal,5,J-003,42.09,1,72
EXP-63138,Familiar,4,J-002,74.57,1,61
EXP-49944,Familiar,4,J-005,65.02,0,134
EXP-35773,Penal,1,J-001,18.6,0,73
EXP-80218,Familiar,5,J-005,29.4,0,120
EXP-34893,Laboral,3,J-001,64.01,1,59
EXP-90274,Familiar,4,J-005,81.27,0,160
EXP-24224,Penal,2,J-003,63.1,1,39
EXP-11857,Penal,5,J-001,20.71,0,133
EXP-78892,Penal,3,J-003,29.83,1,35
EXP-27474,Penal,3,J-003,41.0,1,42
EXP-45975,Penal,3,J-004,92.64,0,151
EXP-58416,Familiar,5,J-003,31.68,0,160
EXP-27034,Laboral,3,J-001,62.63,1,55
EXP-46805,Familiar,5,J-004,82.51,1,119
EXP-59333,Familiar,4,J-001,71.75,0,120
EXP-43791,Penal,3,J-004,30.79,0,130
EXP-89530,Laboral,3,J-001,60.53,1,47
EXP-62226,Familiar,4,J-001,35.06,0,116
EXP-44925,Penal,5,J-004,36.24,0,134
EXP-51994,Familiar,2,J-003,49.13,0,99
EXP-76630,Laboral,4,J-003,93.76,0,159
EXP-16333,Familiar,5,J-003,15.91,0,142
EXP-12654,Penal,4,J-005,12.5,1,61
EXP-43264,Laboral,1,J-005,49.48,0,65
EXP-96796,Penal,2,J-004,31.18,0,103
EXP-52979,Penal,3,J-005,15.24,1,37
EXP-54333,Laboral,2,J-001,20.99,1,25
EXP-84875,Penal,4,J-001,11.91,0,125
EXP-82390,Penal,2,J-002,52.4,0,100
EXP-57395,Familiar,3,J-004,40.83,1,58
EXP-62620,Laboral,3,J-005,30.2,0,128
EXP-81627,Familiar,4,J-002,55.85,1,60
EXP-40409,Penal,5,J-005,50.26,1,78
EXP-48424,Penal,2,J-005,77.75,1,78
EXP-14757,Familiar,4,J-004,29.05,1,52
EXP-73928,Penal,3,J-002,24.21,0,101
EXP-79265,Familiar,3,J-001,55.18,0,109
EXP-19845,Laboral,4,J-002,48.88,0,102
EXP-52151,Penal,1,J-004,82.99,0,87
EXP-39632,Familiar,3,J-004,90.54,1,95
EXP-77760,Familiar,3,J-004,84.94,1,95
EXP-25076,Familiar,1,J-005,92.72,0,123
EXP-40859,Familiar,4,J-003,37.07,0,125
EXP-18182,Familiar,4,J-002,40.45,1,62
EXP-70466,Penal,2,J-005,30.23,1,35
EXP-83234,Penal,4,J-003,88.02,1,109
EXP-15929,Familiar,4,J-003,73.66,0,115
EXP-36710,Penal,1,J-003,65.37,1,18
EXP-42472,Laboral,4,J-004,16.32,0,121
EXP-77410,Familiar,3,J-003,14.15,0,97
EXP-41937,Laboral,5,J-001,57.7,1,63
EXP-64386,Familiar,2,J-004,43.75,1,24
EXP-89438,Laboral,1,J-001,54.49,1,14
EXP-16946,Familiar,5,J-002,88.56,1,109
EXP-32282,Penal,2,J-002,45.58,0,100
EXP-94869,Familiar,1,J-003,83.0,0,121
EXP-75597,Familiar,4,J-003,67.15,0,132
EXP-82476,Familiar,3,J-004,41.88,1,45
EXP-60402,Penal,2,J-005,17.8,1,31
EXP-66033,Penal,4,J-005,37.0,1,54
EXP-96207,Laboral,2,J-001,20.27,1,29
EXP-34091,Laboral,2,J-003,78.03,0,115
EXP-44373,Familiar,1,J-001,86.76,0,131
EXP-40897,Penal,2,J-002,15.1,0,100
EXP-77534,Penal,2,J-005,60.39,1,30
EXP-87599,Familiar,2,J-004,59.6,1,26
EXP-45011,Familiar,1,J-002,23.07,1,31
EXP-67882,Laboral,3,J-003,48.21,0,114
EXP-15764,Laboral,5,J-005,40.57,0,150
EXP-98544,Familiar,2,J-003,41.34,0,76
EXP-93523,Penal,3,J-002,83.87,0,140
EXP-80584,Penal,3,J-005,56.18,1,53
EXP-57739,Laboral,5,J-002,35.92,0,158
EXP-26123,Familiar,4,J-005,16.5,0,113
EXP-87209,Familiar,1,J-001,89.88,0,92
EXP-13683,Penal,1,J-003,91.11,1,51
EXP-46564,Laboral,5,J-005,90.48,0,172
EXP-78751,Laboral,2,J-005,27.83,0,75
EXP-16436,Penal,2,J-002,76.48,0,152
EXP-51006,Laboral,5,J-005,60.76,0,137
EXP-93867,Familiar,3,J-001,53.71,0,118
EXP-24271,Familiar,1,J-002,30.8,1,20
EXP-82338,Penal,5,J-005,81.13,1,106
EXP-24617,Familiar,2,J-001,55.96,0,88
EXP-24075,Familiar,3,J-002,19.04,1,39
EXP-68760,Penal,3,J-001,18.5,0,111
EXP-32342,Penal,1,J-002,49.1,0,83
EXP-85651,Familiar,4,J-005,40.03,0,133
EXP-70722,Familiar,1,J-005,26.03,0,86
EXP-60156,Laboral,3,J-005,35.29,0,93
EXP-48400,Laboral,1,J-004,56.94,0,70
EXP-52311,Laboral,3,J-002,73.83,0,121
EXP-25872,Familiar,3,J-005,64.59,0,102
EXP-16010,Familiar,2,J-002,20.59,1,32
EXP-48046,Laboral,4,J-003,82.43,0,128
EXP-15101,Penal,3,J-005,10.78,1,48
EXP-87023,Penal,1,J-003,71.51,1,5
EXP-81054,Familiar,1,J-001,37.06,0,89
EXP-12413,Familiar,2,J-005,62.23,0,92
EXP-41747,Familiar,1,J-005,79.09,0,123
EXP-89522,Familiar,2,J-002,88.77,1,77
EXP-80759,Laboral,5,J-004,15.36,0,131
EXP-29019,Laboral,1,J-005,47.35,0,81
EXP-45746,Penal,5,J-003,90.9,1,118
EXP-26503,Laboral,5,J-002,85.47,0,173
EXP-75764,Penal,5,J-003,76.17,1,112
EXP-47058,Laboral,5,J-003,71.94,0,132
EXP-63579,Penal,4,J-001,49.06,0,122
EXP-38878,Laboral,3,J-002,73.3,0,117
EXP-29575,Familiar,4,J-004,40.23,1,52
EXP-46949,Familiar,3,J-005,78.67,0,148
EXP-82734,Laboral,2,J-003,32.06,0,80
EXP-60470,Laboral,3,J-002,83.62,0,143
EXP-32202,Penal,3,J-001,26.17,0,129
EXP-14245,Familiar,4,J-001,47.24,0,133
EXP-51769,Familiar,3,J-005,93.45,0,150
EXP-33324,Laboral,2,J-003,40.66,0,100
EXP-91962,Familiar,4,J-003,42.97,0,130
EXP-60887,Familiar,5,J-001,77.28,0,186
EXP-51656,Penal,4,J-001,69.0,0,134
EXP-93674,Laboral,1,J-001,92.32,1,54
EXP-92600,Penal,3,J-002,66.51,0,122
EXP-13582,Penal,1,J-004,46.12,0,72
EXP-40020,Penal,4,J-001,82.57,0,161
EXP-49338,Laboral,2,J-004,79.81,0,112
EXP-31969,Familiar,3,J-003,11.49,0,111
EXP-69636,Laboral,4,J-004,67.98,0,133
EXP-48107,Penal,2,J-002,79.73,0,126
EXP-22554,Familiar,3,J-001,76.91,0,154
EXP-37550,Penal,4,J-004,71.01,0,121
EXP-74281,Penal,1,J-002,90.03,0,114
EXP-26389,Familiar,4,J-002,84.69,1,94
EXP-27499,Laboral,2,J-003,26.37,0,102
EXP-28853,Laboral,1,J-004,53.18,0,91
EXP-15125,Penal,2,J-004,82.49,0,128
EXP-27166,Familiar,5,J-001,73.4,0,145
EXP-77211,Familiar,2,J-005,58.29,0,111
EXP-74809,Familiar,4,J-003,10.41,0,125
EXP-40932,Laboral,5,J-001,26.9,1,88
EXP-38216,Laboral,2,J-005,45.77,0,86
EXP-45604,Familiar,4,J-004,86.45,1,102
EXP-62363,Penal,2,J-004,83.93,0,131
EXP-40451,Penal,3,J-002,18.05,0,130
EXP-94070,Penal,4,J-005,52.26,1,61
EXP-40983,Familiar,5,J-005,29.7,0,141
EXP-13759,Penal,4,J-005,93.32,1,80
EXP-67845,Laboral,5,J-003,20.93,0,147
EXP-28324,Penal,3,J-003,87.98,1,72
EXP-72689,Familiar,4,J-005,86.94,0,171
EXP-95628,Familiar,1,J-001,67.93,0,72
EXP-97066,Familiar,1,J-003,33.47,0,72
EXP-60316,Laboral,4,J-005,76.7,0,168
EXP-16355,Familiar,1,J-004,89.83,1,46
EXP-95022,Familiar,2,J-003,35.65,0,88
EXP-83840,Penal,3,J-005,11.23,1,32
EXP-23782,Familiar,1,J-004,90.86,1,47
EXP-23369,Laboral,5,J-005,76.42,0,162
EXP-48299,Laboral,1,J-003,56.0,0,66
EXP-31946,Laboral,1,J-002,94.09,0,101
EXP-44893,Familiar,5,J-001,46.74,0,143
EXP-48331,Penal,2,J-003,79.46,1,71
EXP-42430,Penal,3,J-002,12.93,0,123
EXP-54045,Familiar,5,J-001,39.1,0,130
EXP-22371,Familiar,1,J-004,41.03,1,32
EXP-83279,Laboral,4,J-004,62.44,0,122
EXP-63931,Laboral,4,J-004,76.36,0,173
EXP-39404,Laboral,5,J-001,87.25,1,98
EXP-71761,Laboral,5,J-003,69.8,0,123
EXP-91466,Familiar,5,J-001,28.36,0,134
EXP-91854,Laboral,5,J-004,13.51,0,138
EXP-50681,Penal,3,J-002,39.25,0,108
EXP-33425,Familiar,2,J-004,73.37,1,22
EXP-47071,Laboral,1,J-005,26.81,0,62
EXP-21572,Penal,5,J-005,89.81,1,122
EXP-42071,Familiar,2,J-001,49.66,0,102
EXP-61963,Familiar,4,J-001,89.2,0,143
EXP-21745,Familiar,5,J-001,79.06,0,187
EXP-88336,Familiar,2,J-005,47.78,0,83
EXP-17845,Familiar,4,J-004,43.43,1,57
EXP-52946,Penal,5,J-002,21.35,0,159
EXP-42026,Laboral,1,J-005,50.86,0,70
EXP-57185,Laboral,4,J-001,34.97,1,72
EXP-96606,Penal,2,J-003,30.72,1,45
EXP-55283,Familiar,4,J-002,77.16,1,103
EXP-39950,Laboral,5,J-005,87.99,0,150
EXP-59374,Laboral,4,J-003,42.03,0,136
EXP-20573,Penal,1,J-004,25.46,0,79
EXP-94699,Laboral,2,J-004,85.94,0,135
EXP-51517,Penal,4,J-001,31.04,0,128
EXP-79622,Penal,2,J-004,25.48,0,102
EXP-21719,Laboral,4,J-001,35.74,1,63
EXP-47944,Penal,2,J-001,43.35,0,93
EXP-62402,Penal,4,J-003,90.24,1,101
EXP-88324,Familiar,2,J-001,50.16,0,83
EXP-46670,Laboral,4,J-003,28.26,0,121
EXP-21657,Penal,5,J-001,92.96,0,161
EXP-76170,Laboral,1,J-003,13.21,0,85
EXP-43212,Laboral,5,J-001,90.37,1,89
EXP-25529,Penal,4,J-004,78.79,0,152
EXP-16316,Familiar,5,J-002,10.82,1,76
EXP-46370,Familiar,3,J-002,23.67,1,58
EXP-38491,Familiar,1,J-004,87.84,1,49
EXP-48116,Penal,5,J-004,45.11,0,160
EXP-63907,Familiar,5,J-002,89.71,1,98
EXP-14014,Laboral,3,J-003,50.76,0,113
EXP-53528,Penal,2,J-004,62.23,0,87
EXP-90130,Laboral,5,J-001,92.46,1,124
EXP-16684,Familiar,2,J-004,49.25,1,34
EXP-32351,Penal,5,J-004,79.18,0,170
EXP-91251,Penal,5,J-001,25.64,0,124
EXP-15059,Laboral,3,J-001,18.41,1,62
EXP-43511,Familiar,2,J-004,53.98,1,25
EXP-25009,Familiar,3,J-004,89.64,1,74
EXP-95005,Laboral,2,J-004,92.09,0,114
EXP-95578,Penal,1,J-004,60.82,0,97
EXP-65734,Familiar,1,J-004,35.75,1,12
EXP-99470,Familiar,1,J-002,85.79,1,47
EXP-23888,Familiar,2,J-003,92.03,0,148
EXP-22752,Laboral,2,J-001,87.42,1,53
EXP-69206,Familiar,4,J-002,28.56,1,78
EXP-68755,Laboral,2,J-005,54.59,0,73
EXP-74232,Laboral,2,J-003,92.05,0,137
EXP-41701,Laboral,5,J-002,51.39,0,155
EXP-23085,Penal,2,J-001,45.73,0,73
EXP-57731,Penal,5,J-002,44.45,0,147
EXP-94730,Familiar,1,J-001,29.95,0,74
EXP-50892,Penal,3,J-005,81.13,1,94
EXP-48252,Familiar,3,J-004,53.08,1,58
EXP-82942,Laboral,2,J-001,35.52,1,30
EXP-99821,Penal,4,J-003,29.06,1,48
EXP-32444,Familiar,1,J-001,68.12,0,73
EXP-84676,Laboral,3,J-001,13.92,1,44
EXP-27214,Laboral,1,J-004,16.66,0,83
EXP-99789,Laboral,2,J-005,37.74,0,80
EXP-44302,Laboral,3,J-004,31.73,0,108
EXP-66992,Penal,1,J-004,39.6,0,91
EXP-21427,Familiar,4,J-004,45.8,1,57
EXP-81262,Familiar,5,J-001,40.01,0,142
EXP-45009,Penal,5,J-004,40.25,0,151
EXP-62312,Familiar,4,J-005,43.89,0,133
EXP-44278,Familiar,2,J-003,74.8,0,105
EXP-95364,Penal,3,J-004,16.86,0,124
EXP-24393,Familiar,2,J-002,81.61,1,42
EXP-21499,Laboral,4,J-003,18.89,0,134
EXP-73786,Laboral,4,J-004,58.41,0,124
EXP-58881,Laboral,5,J-003,71.38,0,146
EXP-80465,Laboral,2,J-005,29.08,0,83
EXP-12843,Penal,2,J-001,91.55,0,105
EXP-55678,Laboral,5,J-005,85.76,0,196
EXP-66569,Familiar,4,J-001,82.46,0,138
EXP-67938,Familiar,2,J-002,16.77,1,26
EXP-76664,Laboral,4,J-002,12.89,0,136
EXP-59802,Familiar,2,J-005,25.31,0,93
EXP-42555,Familiar,4,J-005,58.84,0,106
EXP-48810,Laboral,4,J-002,47.19,0,138
EXP-43422,Laboral,1,J-001,16.18,1,14
EXP-74629,Penal,1,J-003,31.42,1,15
EXP-49926,Penal,2,J-002,40.59,0,86
EXP-77597,Familiar,2,J-003,43.85,0,95
EXP-69084,Laboral,4,J-004,86.24,0,154
EXP-47244,Familiar,2,J-005,46.66,0,100
EXP-83732,Laboral,2,J-003,79.37,0,112
EXP-57381,Familiar,2,J-005,46.4,0,110
EXP-54581,Laboral,3,J-002,21.43,0,94
EXP-53309,Penal,4,J-002,68.29,0,128
EXP-80876,Familiar,1,J-005,77.86,0,135
EXP-14668,Laboral,5,J-003,65.63,0,138
EXP-55882,Penal,5,J-002,86.23,0,172
EXP-22229,Laboral,5,J-003,62.36,0,149
EXP-82592,Laboral,4,J-002,37.1,0,111
EXP-14943,Laboral,5,J-004,30.46,0,143
EXP-64037,Laboral,4,J-003,65.68,0,130
EXP-58872,Laboral,3,J-003,26.39,0,104
EXP-18667,Penal,1,J-001,12.67,0,87
EXP-38170,Familiar,4,J-005,41.77,0,130
EXP-94859,Familiar,3,J-001,26.93,0,113
EXP-37812,Familiar,3,J-003,56.2,0,112
EXP-95802,Laboral,3,J-003,43.34,0,117
EXP-31014,Penal,1,J-004,64.19,0,79
EXP-41421,Penal,4,J-005,90.82,1,98
EXP-87798,Laboral,3,J-002,60.56,0,111
EXP-70662,Penal,3,J-005,79.82,1,77
EXP-51896,Penal,1,J-004,88.75,0,129
EXP-18636,Penal,1,J-001,42.07,0,65
EXP-82008,Laboral,5,J-005,93.55,0,181
EXP-27024,Penal,2,J-003,19.41,1,41
EXP-50609,Familiar,5,J-002,77.58,1,89
EXP-53372,Penal,4,J-005,77.57,1,95
EXP-35587,Laboral,1,J-002,41.35,0,84
EXP-88592,Laboral,5,J-004,12.69,0,143
EXP-42241,Familiar,3,J-005,26.58,0,116
EXP-37846,Familiar,1,J-005,39.76,0,95
EXP-47644,Laboral,2,J-005,50.2,0,115
EXP-66612,Laboral,3,J-004,91.54,0,124
EXP-51326,Familiar,4,J-001,36.92,0,136
EXP-78508,Familiar,2,J-001,45.77,0,118
EXP-46914,Familiar,5,J-002,70.16,1,79
EXP-88299,Familiar,3,J-003,18.65,0,109
EXP-73544,Laboral,1,J-003,74.84,0,69
EXP-33571,Familiar,5,J-005,37.7,0,123
EXP-20835,Laboral,1,J-003,14.32,0,59
EXP-74259,Laboral,4,J-004,58.99,0,123
EXP-10082,Laboral,3,J-004,65.46,0,119
EXP-79004,Familiar,3,J-001,86.82,0,162
EXP-30219,Laboral,2,J-005,81.8,0,116
EXP-15979,Penal,4,J-004,24.46,0,120
EXP-68128,Familiar,1,J-002,94.68,1,63
EXP-66892,Laboral,5,J-001,67.47,1,61
EXP-19340,Penal,4,J-004,74.98,0,140
EXP-79931,Laboral,2,J-005,78.3,0,121
EXP-11230,Penal,3,J-001,91.9,0,134
EXP-20813,Laboral,4,J-004,25.74,0,108
EXP-46575,Laboral,3,J-005,46.39,0,116
EXP-53918,Laboral,3,J-002,36.0,0,98
EXP-14449,Familiar,1,J-003,45.73,0,77
EXP-17566,Penal,5,J-003,29.67,1,79
EXP-86568,Penal,2,J-003,66.29,1,35
EXP-67933,Laboral,5,J-003,48.22,0,130
EXP-70335,Penal,1,J-001,38.39,0,87
EXP-92307,Familiar,4,J-002,62.71,1,65
EXP-62250,Laboral,5,J-004,93.65,0,172
EXP-20079,Laboral,3,J-004,60.34,0,130
EXP-12006,Penal,5,J-005,35.85,1,84
EXP-38571,Penal,1,J-003,52.81,1,19
EXP-90254,Familiar,3,J-001,31.94,0,116
EXP-38894,Penal,3,J-001,75.0,0,124
EXP-81647,Laboral,1,J-004,17.03,0,67
EXP-32617,Familiar,2,J-002,28.02,1,45
EXP-26472,Laboral,4,J-005,30.43,0,110
EXP-54871,Penal,5,J-003,68.02,1,77
EXP-81782,Familiar,5,J-003,28.92,0,131
EXP-29451,Laboral,2,J-004,44.0,0,86
EXP-47412,Familiar,3,J-004,38.24,1,47
EXP-23312,Laboral,5,J-001,40.27,1,79
EXP-47466,Penal,1,J-005,78.87,1,41
EXP-50064,Laboral,4,J-002,43.1,0,118
EXP-82409,Penal,4,J-002,12.55,0,140
EXP-62082,Laboral,1,J-002,12.88,0,62
EXP-77907,Familiar,3,J-005,83.98,0,145
EXP-53845,Laboral,4,J-005,23.43,0,123
EXP-31092,Laboral,4,J-001,26.07,1,68
EXP-23729,Familiar,2,J-001,71.9,0,100
EXP-50152,Laboral,1,J-002,33.32,0,66
EXP-81082,Penal,5,J-001,62.93,0,132
EXP-78887,Penal,2,J-004,17.91,0,82
EXP-44861,Penal,4,J-003,51.13,1,73
EXP-81688,Laboral,4,J-002,39.91,0,142
EXP-65149,Familiar,3,J-001,44.32,0,127
EXP-68540,Penal,1,J-005,47.75,1,14
EXP-69442,Laboral,1,J-005,26.2,0,84
EXP-20677,Familiar,2,J-004,38.14,1,26
EXP-35719,Laboral,1,J-005,35.35,0,73
